Player,Team,Comb,Asst,Solo,Sck
Adam Butler,Las Vegas Raiders,34,13,16,0.0
Carl Granderson,New Orleans Saints,34,13,17,3.5
Malik Hooker,Dallas Cowboys,34,11,20,0.0
Marlon Humphrey,Baltimore Ravens,34,6,26,0.0
Jack Jones,Las Vegas Raiders,34,8,25,0.0
Dexter Lawrence,New York Giants,34,14,17,9.0
Max Melton,Arizona Cardinals,34,7,25,0.0
Elijah Molden,Los Angeles Chargers,34,16,14,0.0
Baylon Spector,Buffalo Bills,34,13,16,1.0
Kobie Turner,Los Angeles Rams,34,17,10,4.0
C.J. Gardner-Johnson,Philadelphia Eagles,33,13,17,0.0
Davon Godchaux,New England Patriots,33,18,10,0.0
Kyler Gordon,Chicago Bears,33,13,15,0.5
Neville Hewitt,Houston Texans,33,16,15,0.0
Cameron Heyward,Pittsburgh Steelers,33,15,13,3.0
Rakeem Nunez-Roches,New York Giants,33,24,6,1.0
Joey Porter Jr.,Pittsburgh Steelers,33,11,21,0.0
Greg Rousseau,Buffalo Bills,33,10,18,4.5
Jared Verse,Los Angeles Rams,33,13,19,3.5
Travon Walker,Jacksonville Jaguars,33,16,17,6.5
T.J. Watt,Pittsburgh Steelers,33,9,21,6.5
Terrion Arnold,Detroit Lions,32,4,26,0.0
Chuck Clark,New York Jets,32,15,15,1.0
Stephon Gilmore,Minnesota Vikings,32,9,22,0.0
Troy Hill,Carolina Panthers,32,12,17,0.0
Mike Hilton,Cincinnati Bengals,32,8,17,0.0
Jourdan Lewis,Dallas Cowboys,32,13,19,0.0
Eric Murray,Houston Texans,32,10,21,1.0
Justin Simmons,Atlanta Falcons,32,14,16,0.0
Derek Stingley Jr.,Houston Texans,32,8,23,0.0
Jaylen Watson,Kansas City Chiefs,32,11,19,0.0
Eric Wilson,Green Bay Packers,32,11,16,2.0
Jarvis Brownlee Jr.,Tennessee Titans,31,7,21,0.0
Trevon Diggs,Dallas Cowboys,31,7,21,0.0
Jonathan Jones,New England Patriots,31,8,22,0.0
Alex Singleton,Denver Broncos,31,14,11,0.0
Byron Young,Los Angeles Rams,31,14,16,4.0
Percy Butler,Washington Commanders,30,13,16,0.0
Divine Deablo,Las Vegas Raiders,30,11,14,1.0
Daniel Ekuale,New England Patriots,30,15,12,1.0
Sauce Gardner,New York Jets,30,9,15,1.0
