Player,Team,FF,FR,FR TD
Javon Bullard,Green Bay Packers,0,0,0
Jonathan Bullard,Minnesota Vikings,0,0,0
Calen Bullock,Houston Texans,0,1,0
Sean Murphy-Bunting,Arizona Cardinals,0,0,0
Treylon Burks,Tennessee Titans,0,0,0
Amari Burney,Las Vegas Raiders,0,0,0
Artie Burns,Seattle Seahawks,0,0,0
Michael Burton,Denver Broncos,0,0,0
Devin Bush,Cleveland Browns,0,0,0
Adam Butler,Las Vegas Raiders,0,0,0
Matthew Butler,Las Vegas Raiders,0,0,0
Percy Butler,Washington Commanders,0,0,0
Kevin Byard,Chicago Bears,0,2,0
Camryn Bynum,Minnesota Vikings,0,1,0
Grant Calcaterra,Philadelphia Eagles,0,0,0
De'Vondre Campbell,San Francisco 49ers,0,0,0
Tyson Campbell,Jacksonville Jaguars,0,0,0
Jaylon Carlies,Indianapolis Colts,0,0,0
Caelen Carson,Dallas Cowboys,0,0,0
DeWayne Carter,Buffalo Bills,0,0,0
Jalen Carter,Philadelphia Eagles,0,0,0
Lorenzo Carter,Atlanta Falcons,0,0,0
Michael Carter II,New York Jets,0,1,0
Zachary Carter,Cincinnati Bengals,0,0,0
Blake Cashman,Minnesota Vikings,0,0,0
K'Lavon Chaisson,Las Vegas Raiders,0,0,0
Zach Charbonnet,Seattle Seahawks,0,0,0
Irvin Charles,New York Jets,0,0,0
Ja'Marr Chase,Cincinnati Bengals,0,0,0
Elijah Chatman,New York Giants,0,1,0
Claudin Cherelus,Carolina Panthers,0,0,0
Cole Christiansen,Kansas City Chiefs,0,0,0
Andre Cisco,Jacksonville Jaguars,0,0,0
Damone Clark,Dallas Cowboys,0,0,0
Kei'Trel Clark,Arizona Cardinals,0,0,0
Kenny Clark,Green Bay Packers,0,1,0
Ben Cleveland,Baltimore Ravens,0,0,0
Jadeveon Clowney,Carolina Panthers,0,0,0
Keondre Coburn,Tennessee Titans,0,0,0
Jack Cochrane,Kansas City Chiefs,0,0,0
Brandon Codrington,Buffalo Bills,0,0,0
Jalen Coker,Carolina Panthers,0,0,0
Myles Cole,Jacksonville Jaguars,0,0,0
L.J. Collier,Arizona Cardinals,0,1,0
Keon Coleman,Buffalo Bills,0,0,0
Maliek Collins,San Francisco 49ers,0,2,0
Nico Collins,Houston Texans,0,0,0
Zaven Collins,Arizona Cardinals,0,0,0
Junior Colson,Los Angeles Chargers,0,0,0
Chris Conley,San Francisco 49ers,0,0,0
Chamarri Conner,Kansas City Chiefs,0,1,1
