Player,Team,FF,FR,FR TD
Kyzir White,Arizona Cardinals,0,0,0
Rachaad White,Tampa Bay Buccaneers,0,0,0
Devin White,Philadelphia Eagles,0,0,0
Tre'Davious White,Los Angeles Rams,0,0,0
Jordan Whitehead,Tampa Bay Buccaneers,0,0,0
Jordan Whittington,Los Angeles Rams,0,0,0
Josh Whyle,Tennessee Titans,0,0,0
Dontayvion Wicks,Green Bay Packers,0,0,0
Mike Williams,New York Jets,0,0,0
Christian Wilkins,Las Vegas Raiders,0,0,0
Quinnen Williams,New York Jets,0,0,0
Donovan Wilson,Dallas Cowboys,0,1,0
Avery Williams,Atlanta Falcons,0,0,0
Chris Williams,Chicago Bears,0,0,0
Connor Williams,Seattle Seahawks,0,0,0
Darious Williams,Los Angeles Rams,0,0,0
Dee Williams,Seattle Seahawks,0,0,0
DeShawn Williams,Carolina Panthers,0,0,0
Garrett Williams,Arizona Cardinals,0,0,0
James Williams,Tennessee Titans,0,0,0
Jameson Williams,Detroit Lions,0,0,0
Jonah Williams,Arizona Cardinals,0,0,0
Joshua Williams,Kansas City Chiefs,0,0,0
Kyren Williams,Los Angeles Rams,0,0,0
Leonard Williams,Seattle Seahawks,0,0,0
Marcus Williams,Baltimore Ravens,0,1,0
Milton Williams,Philadelphia Eagles,0,0,0
Rod Williams,Pittsburgh Steelers,0,0,0
Jedrick Wills,Cleveland Browns,0,0,0
Cedrick Wilson Jr.,New Orleans Saints,0,0,0
Garrett Wilson,New York Jets,0,0,0
Mack Wilson,Arizona Cardinals,0,1,0
Marco Wilson,New England Patriots,0,0,0
Payton Wilson,Pittsburgh Steelers,0,0,0
Tyree Wilson,Las Vegas Raiders,0,0,0
James Winchester,Kansas City Chiefs,0,0,0
Jacoby Windmon,Carolina Panthers,0,0,0
Antoine Winfield Jr.,Tampa Bay Buccaneers,0,1,1
Mekhi Wingo,Detroit Lions,0,0,0
Dee Winters,San Francisco 49ers,0,0,0
Tristan Wirfs,Tampa Bay Buccaneers,0,0,0
Deatrich Wise,New England Patriots,0,0,0
Mitch Wishnowsky,San Francisco 49ers,0,0,0
Ahkello Witherspoon,Los Angeles Rams,0,0,0
Charlie Woerner,Atlanta Falcons,0,0,0
Samuel Womack,Indianapolis Colts,0,0,0
Zach Wood,New Orleans Saints,0,0,0
Colby Wooden,Green Bay Packers,0,0,0
Charles Woods,Los Angeles Rams,0,0,0
Xavier Woods,Carolina Panthers,0,0,0
Riq Woolen,Seattle Seahawks,0,0,0
Chandler Wooten,Carolina Panthers,0,0,0
Chris Wormley,Baltimore Ravens,0,0,0
Xavier Worthy,Kansas City Chiefs,0,0,0
Alex Wright,Cleveland Browns,0,0,0
Matthew Wright,San Francisco 49ers,0,0,0
Devonte Wyatt,Green Bay Packers,0,2,0
Oshane Ximines,New England Patriots,0,0,0
Colson Yankoff,Washington Commanders,0,0,0
Rock Ya-Sin,San Francisco 49ers,0,0,0
Kenny Yeboah,New York Jets,0,0,0
Chase Young,New Orleans Saints,0,0,0
Dareke Young,Seattle Seahawks,0,0,0
Shane Zylstra,Detroit Lions,0,0,0
