Team,Week,Outcome,Points Scored,Opponent,Points Allowed
Ravens,Week 7,Win,41,Buccaneers,31
Buccaneers,Week 7,Loss,31,Ravens,41
Chargers,Week 7,Loss,15,Cardinals,17
Cardinals,Week 7,Win,17,Chargers,15
Vikings,Week 8,Loss,20,Rams,30
Rams,Week 8,Win,30,Vikings,20
Ravens,Week 8,Loss,24,Browns,29
Browns,Week 8,Win,29,Ravens,24
Titans,Week 8,Loss,14,Lions,52
Lions,Week 8,Win,52,Titans,14
Colts,Week 8,Loss,20,Texans,23
Texans,Week 8,Win,23,Colts,20
Packers,Week 8,Win,30,Jaguars,27
Jaguars,Week 8,Loss,27,Packers,30
Cardinals,Week 8,Win,28,Dolphins,27
Dolphins,Week 8,Loss,27,Cardinals,28
Jets,Week 8,Loss,22,Patriots,25
Patriots,Week 8,Win,25,Jets,22
Falcons,Week 8,Win,31,Buccaneers,26
Buccaneers,Week 8,Loss,26,Falcons,31
Eagles,Week 8,Win,37,Bengals,17
Bengals,Week 8,Loss,17,Eagles,37
Saints,Week 8,Loss,8,Chargers,26
Chargers,Week 8,Win,26,Saints,8
Bills,Week 8,Win,31,Seahawks,10
Seahawks,Week 8,Loss,10,Bills,31
Bears,Week 8,Loss,15,Commanders,18
Commanders,Week 8,Win,18,Bears,15
Panthers,Week 8,Loss,14,Broncos,28
Broncos,Week 8,Win,28,Panthers,14
Chiefs,Week 8,Win,27,Raiders,20
Raiders,Week 8,Loss,20,Chiefs,27
Cowboys,Week 8,Loss,24,49ers,30
49ers,Week 8,Win,30,Cowboys,24
Giants,Week 8,Loss,18,Steelers,26
Steelers,Week 8,Win,26,Giants,18
Texans,Week 9,Loss,13,Jets,21
Jets,Week 9,Win,21,Texans,13
Cowboys,Week 9,Loss,21,Falcons,27
Falcons,Week 9,Win,27,Cowboys,21
Broncos,Week 9,Loss,10,Ravens,41
Ravens,Week 9,Win,41,Broncos,10
Dolphins,Week 9,Loss,27,Bills,30
Bills,Week 9,Win,30,Dolphins,27
Saints,Week 9,Loss,22,Panthers,23
Panthers,Week 9,Win,23,Saints,22
Raiders,Week 9,Loss,24,Bengals,41
Bengals,Week 9,Win,41,Raiders,24
Chargers,Week 9,Win,27,Browns,10
Browns,Week 9,Loss,10,Chargers,27
Commanders,Week 9,Win,27,Giants,22
Giants,Week 9,Loss,22,Commanders,27
Patriots,Week 9,Loss,17,Titans,20
Titans,Week 9,Win,20,Patriots,17
Bears,Week 9,Loss,9,Cardinals,29
Cardinals,Week 9,Win,29,Bears,9
Jaguars,Week 9,Loss,23,Eagles,28
Eagles,Week 9,Win,28,Jaguars,23
Lions,Week 9,Win,24,Packers,14
Packers,Week 9,Loss,14,Lions,24
Rams,Week 9,Win,26,Seahawks,20
Seahawks,Week 9,Loss,20,Rams,26
Colts,Week 9,Loss,13,Vikings,21
Vikings,Week 9,Win,21,Colts,13
Buccaneers,Week 9,Loss,24,Chiefs,30
Chiefs,Week 9,Win,30,Buccaneers,24
